option_name,name,infer_time,mse,mae,normstatistic,normpvalue,independency,
0-Covered-Call,dense,1.7706358432769775,0.0007757235282362785,0.021730582079577395,0.9941797852516174,0.0006402123253792524,1.9554791460875014,
0-Covered-Call,rnn,6.7194085121154785,0.0007147081280463656,0.021205935719510485,0.9992899894714355,0.9766849875450134,1.5353146906513722,
0-Covered-Call,gru,16.30958104133606,0.0011259233686773315,0.026359529309199662,0.9953356981277466,0.0037696100771427155,1.8556422991939534,
0-Covered-Call,lstm,23.4221088886261,0.0016620322334679589,0.03218246799155167,0.9964799880981445,0.024134844541549683,1.7503022106934971,
1-Married-Put,dense,1.8192260265350342,0.00043258431535887114,0.016401865373701724,0.9986587166786194,0.6606963872909546,1.8264252746542002,
1-Married-Put,rnn,6.8936216831207275,0.001072441876583782,0.025596114916935746,0.9879891276359558,2.6595714075483556e-07,1.3910751025389247,
1-Married-Put,gru,19.186557292938232,0.001762853710887458,0.03325215759306663,0.9979196786880493,0.2506082355976105,1.3696499032326943,
1-Married-Put,lstm,18.340671062469482,0.0012569529721489683,0.028191781792625704,0.9991573691368103,0.9412670135498047,1.8269485703010717,
2-Bull-Call-Spread,dense,1.861560344696045,0.0011676107496613015,0.027560243020548957,0.9984018206596375,0.49218887090682983,1.9649680537832364,
2-Bull-Call-Spread,rnn,6.821803331375122,0.0007151540659327678,0.021368539031752468,0.9929450154304504,0.00010917264444287866,1.4551650001869827,
2-Bull-Call-Spread,gru,19.67243242263794,0.00271195352514414,0.04195515610610814,0.9972309470176697,0.08367221057415009,1.5138743907382404,
2-Bull-Call-Spread,lstm,18.384299993515015,0.0017246597709137184,0.033029587368382435,0.9968899488449097,0.04762176424264908,1.1929216420832442,
3-Bear-Put-Spread,dense,1.7847917079925537,0.0005857343353409222,0.019034543702821025,0.9960702657699585,0.01229842472821474,2.0357842918440108,
3-Bear-Put-Spread,rnn,6.81439471244812,0.0004847702238668384,0.01738963280740849,0.9986315369606018,0.6423090696334839,1.7568276145275887,
3-Bear-Put-Spread,gru,19.845964193344116,0.002308598145124036,0.03857295508925117,0.9982357621192932,0.3957357704639435,1.3194139099434214,
3-Bear-Put-Spread,lstm,18.50693702697754,0.0016580408193504201,0.032604464097854856,0.9982836842536926,0.42222854495048523,1.2303787355091127,
4-Protective-Collar,dense,1.8491060733795166,0.001220224055557512,0.027584565786784608,0.998814582824707,0.7643159627914429,1.9287422501992095,
4-Protective-Collar,rnn,7.732541799545288,0.001416568194514357,0.030031377944621254,0.997065544128418,0.06369725614786148,1.331112628263457,
4-Protective-Collar,gru,16.408851861953735,0.0013522353971007544,0.02917742926506661,0.9992228150367737,0.961283266544342,1.8138033759197285,
4-Protective-Collar,lstm,23.47185730934143,0.001107110484962035,0.026593837095699395,0.9980908632278442,0.3227981626987457,1.346429617538191,
5-Long-Straddle,dense,1.8156795501708984,0.0008732852281418715,0.023492218985328068,0.9982824921607971,0.42155998945236206,1.8638335871377112,
5-Long-Straddle,rnn,6.951884031295776,0.0013594070787239442,0.029319142468580618,0.99805748462677,0.3075348436832428,1.086802378717707,
5-Long-Straddle,gru,19.808667182922363,0.0011646044828559619,0.027318111333149268,0.9965949654579163,0.029196210205554962,1.3595588831879144,
5-Long-Straddle,lstm,18.23871874809265,0.0021699228978363074,0.03675035193956714,0.9970235824584961,0.05942700803279877,1.488636538038751,
6-Long-Strangle,dense,1.7918493747711182,0.00035133200217869574,0.014705641360059916,0.996481716632843,0.024203067645430565,1.9775366949510715,
6-Long-Strangle,rnn,7.828429222106934,0.0004098663641634742,0.016000364800574957,0.9986971616744995,0.6866379976272583,1.8923414017202271,
6-Long-Strangle,gru,16.36368489265442,0.0007577211296034319,0.0220668919652094,0.9972241520881653,0.08274742215871811,1.9072848584980509,
6-Long-Strangle,lstm,18.492549180984497,0.0006230729197181239,0.020061523056401725,0.9974845051765442,0.126534566283226,1.9719362039193769,
7-Long-Call-Butterfly-Spread,dense,1.8048605918884277,0.0011017658422640664,0.026146349705013287,0.998241126537323,0.398625910282135,1.8980245276285488,
7-Long-Call-Butterfly-Spread,rnn,6.705820083618164,0.0009908161656922495,0.02518235966990533,0.9799797534942627,1.6960641224805784e-10,0.7525243156959599,
7-Long-Call-Butterfly-Spread,gru,16.346071004867554,0.0015142771045517315,0.030855906737499585,0.9989174008369446,0.8276641964912415,1.6713145631168038,
7-Long-Call-Butterfly-Spread,lstm,23.266162157058716,0.0018967924905636216,0.03455745188074434,0.9993430376052856,0.985439121723175,1.7117483877235715,
8-Iron-Condor,dense,1.8094408512115479,0.0003651916873034659,0.015312490168972246,0.9988981485366821,0.8162786960601807,1.916366778671654,
8-Iron-Condor,rnn,6.73310661315918,0.0007529870217090193,0.021771828015841925,0.9946103692054749,0.0012228788109496236,1.3590144933713948,
8-Iron-Condor,gru,16.153780937194824,0.000859353702721683,0.02329741421961132,0.9988041520118713,0.7575839757919312,1.8301638061503769,
8-Iron-Condor,lstm,23.830780267715454,0.0018596455923181345,0.03457346317459386,0.9982920289039612,0.42694613337516785,1.743436211792417,
9-Iron-Butterfly,dense,1.8056812286376953,0.0007927753928814649,0.022194816889015086,0.9985188245773315,0.5669519305229187,1.8707290408404178,
9-Iron-Butterfly,rnn,6.904229402542114,0.0011601986076199779,0.027155038360767228,0.9884520173072815,4.391667971503921e-07,1.0778064744074842,
9-Iron-Butterfly,gru,19.210871696472168,0.0009689421577622231,0.024843609331058822,0.9977922439575195,0.2061663120985031,1.7798390546268223,
